,District name,State name,latitude,longitude,economic_growth_score,digital_score,income_score,infrastructure_score,education_score,mobility_score,Population,Literate,Workers,Households_with_Internet,Housholds_with_Electric_Lighting,LPG_or_PNG_Households,Power_Parity_Above_Rs_545000
52,Tirunelveli,TAMIL NADU,12.192247889325001,79.17028821853515,18.17,0.06758500138839628,0.06538441159328141,0.27665095301836096,0.1593290653131355,0.22313487540274943,3077233,2273457,1436454,19070,779130,361760,484
53,Karimnagar,ANDHRA PRADESH,16.307910516017724,81.49089167598314,18.12,0.04526827174560321,0.014094208657871032,0.30835306848404903,0.1874603777720197,0.2776586010639473,3776269,2206829,1876768,8831,926768,344667,186
54,Tiruchirappalli,TAMIL NADU,11.150117165618388,77.16283188701912,17.95,0.0896797514483963,0.06109256609971918,0.2388179891322297,0.17536093993398258,0.2303885890155823,2722290,2038981,1213979,30046,651621,333478,646
55,West Godavari,ANDHRA PRADESH,14.987385716846296,78.58058559860166,17.88,0.05530076595242756,0.014703544746463201,0.35242130386044807,0.14421449754491544,0.2191434483278507,3936966,2652389,1773112,12050,1017568,435334,193
56,Jalgaon,MAHARASHTRA,18.14678645840777,76.4620608361729,17.58,0.058093121663650965,0.05484024797329518,0.25963484952392796,0.20640872148181072,0.17539501610997674,4229917,2891882,1863571,14297,720791,350029,65
57,Aurangabad,MAHARASHTRA,17.548015057714796,75.27213366418228,17.42,0.07621435528037004,0.06729189847930907,0.20256181360044917,0.19220190173038826,0.2330117403323893,3701282,2503837,1575079,23258,589477,246324,501
58,Malappuram,KERALA,9.729224956791949,75.35123669520652,17.3,0.12096412859088836,0.023870078948762783,0.2108942888837514,0.20334170072855398,0.20166227146123142,4112920,3311315,1062424,27909,730119,139994,83
59,Solapur,MAHARASHTRA,17.977976079133192,77.06597448065425,17.27,0.06085271286080897,0.06225825253006941,0.20450796820876066,0.19230670753751758,0.2461378946424417,4317756,2910676,1898395,15145,595560,248255,0
60,East,NCT OF DELHI,28.903409103206897,78.16227219298024,17.02,0.1698446880122015,0.06416573941609707,0.16472909255866633,0.16426279014907347,0.15511977530514076,1709346,1352998,579692,80037,352758,327253,769
61,Agra,UTTAR PRADESH,26.867176319587514,79.48773870868894,16.5,0.08932016090652857,0.04000423885974673,0.19081154695735458,0.17615603024279103,0.2423183549757668,4418797,2680510,1389844,27183,536402,251013,354
